"","GICS_INDUSTRY_GROUP","GICS_INDUSTRY_GROUP_NAME","LONG_COMPANY_NAME_REALTIME","NAME_RT"
"ITW UN Equity",2010,"Capital Goods","Illinois Tool Works Inc","ILLINOIS TOOL WORKS"
"INTC UW Equity",4530,"Semiconductors & Semiconductor","Intel Corp","INTEL CORP"
"KORS UN Equity",2520,"Consumer Durables & Apparel","Michael Kors Holdings Ltd","MICHAEL KORS HOLDINGS LTD"
"KIM UN Equity",4040,"Real Estate","Kimco Realty Corp","KIMCO REALTY CORP"
"IVZ UN Equity",4020,"Diversified Financials","Invesco Ltd","INVESCO LTD"
"JEC UN Equity",2010,"Capital Goods","Jacobs Engineering Group Inc","JACOBS ENGINEERING GROUP INC"
"LH UN Equity",3510,"Health Care Equipment & Servic","Laboratory Corp of America Holdings","LABORATORY CRP OF AMER HLDGS"
"KR UN Equity",3010,"Food & Staples Retailing","Kroger Co/The","KROGER CO"
"KLAC UW Equity",4530,"Semiconductors & Semiconductor","KLA-Tencor Corp","KLA-TENCOR CORP"
"LLL UN Equity",2010,"Capital Goods","L-3 Communications Holdings Inc","L-3 COMMUNICATIONS HOLDINGS"
"JNJ UN Equity",3520,"Pharmaceuticals, Biotechnology","Johnson & Johnson","JOHNSON & JOHNSON"
"JNPR UN Equity",4520,"Technology Hardware & Equipmen","Juniper Networks Inc","JUNIPER NETWORKS INC"
"KSS UN Equity",2550,"Retailing","Kohl's Corp","KOHLS CORP"
"KMB UN Equity",3030,"Household & Personal Products","Kimberly-Clark Corp","KIMBERLY-CLARK CORP"
"KMI UN Equity",1010,"Energy","Kinder Morgan Inc/DE","KINDER MORGAN INC"
"LLTC UW Equity",4530,"Semiconductors & Semiconductor","Linear Technology Corp","LINEAR TECHNOLOGY CORP"
"JPM UN Equity",4010,"Banks","JPMorgan Chase & Co","JPMORGAN CHASE & CO"
"KMX UN Equity",2550,"Retailing","CarMax Inc","CARMAX INC"
"KSU UN Equity",2030,"Transportation","Kansas City Southern","KANSAS CITY SOUTHERN"
"JWN UN Equity",2550,"Retailing","Nordstrom Inc","NORDSTROM INC"
"LLY UN Equity",3520,"Pharmaceuticals, Biotechnology","Eli Lilly & Co","ELI LILLY & CO"
"KO UN Equity",3020,"Food Beverage & Tobacco","Coca-Cola Co/The","COCA-COLA CO/THE"
"L UN Equity",4030,"Insurance","Loews Corp","LOEWS CORP"
"K UN Equity",3020,"Food Beverage & Tobacco","Kellogg Co","KELLOGG CO"
"MAR UW Equity",2530,"Consumer Services","Marriott International Inc/MD","MARRIOTT INTERNATIONAL -CL A"
"LM UN Equity",4020,"Diversified Financials","Legg Mason Inc","LEGG MASON INC"
"LRCX UW Equity",4530,"Semiconductors & Semiconductor","Lam Research Corp","LAM RESEARCH CORP"
"LB UN Equity",2550,"Retailing","L Brands Inc","L BRANDS INC"
"LMT UN Equity",2010,"Capital Goods","Lockheed Martin Corp","LOCKHEED MARTIN CORP"
"MAS UN Equity",2010,"Capital Goods","Masco Corp","MASCO CORP"
"MAT UW Equity",2520,"Consumer Durables & Apparel","Mattel Inc","MATTEL INC"
"LUK UN Equity",4020,"Diversified Financials","Leucadia National Corp","LEUCADIA NATIONAL CORP"
"LEG UN Equity",2520,"Consumer Durables & Apparel","Leggett & Platt Inc","LEGGETT & PLATT INC"
"LNC UN Equity",4030,"Insurance","Lincoln National Corp","LINCOLN NATIONAL CORP"
"MCD UN Equity",2530,"Consumer Services","McDonald's Corp","MCDONALD'S CORP"
"LUV UN Equity",2030,"Transportation","Southwest Airlines Co","SOUTHWEST AIRLINES CO"
"LVLT UN Equity",5010,"Telecommunication Services","Level 3 Communications Inc","LEVEL 3 COMMUNICATIONS INC"
"LEN UN Equity",2520,"Consumer Durables & Apparel","Lennar Corp","LENNAR CORP-A"
"MCHP UW Equity",4530,"Semiconductors & Semiconductor","Microchip Technology Inc","MICROCHIP TECHNOLOGY INC"
"LYB UN Equity",1510,"Materials","LyondellBasell Industries NV","LYONDELLBASELL INDU-CL A"
"LOW UN Equity",2550,"Retailing","Lowe's Cos Inc","LOWE'S COS INC"
"MCK UN Equity",3510,"Health Care Equipment & Servic","McKesson Corp","MCKESSON CORP"
"M UN Equity",2550,"Retailing","Macy's Inc","MACY'S INC"
"MA UN Equity",4510,"Software & Services","MasterCard Inc","MASTERCARD INC-CLASS A"
"MDT UN Equity",3510,"Health Care Equipment & Servic","Medtronic PLC","MEDTRONIC PLC"
"MCO UN Equity",4020,"Diversified Financials","Moody's Corp","MOODY'S CORP"
"MDLZ UW Equity",3020,"Food Beverage & Tobacco","Mondelez International Inc","MONDELEZ INTERNATIONAL INC-A"
"MMM UN Equity",2010,"Capital Goods","3M Co","3M CO"
"MNK UN Equity",3520,"Pharmaceuticals, Biotechnology","Mallinckrodt PLC","MALLINCKRODT PLC"
"MET UN Equity",4030,"Insurance","MetLife Inc","METLIFE INC"
"MAC UN Equity",4040,"Real Estate","Macerich Co/The","MACERICH CO/THE"
"NAVI UW Equity",4020,"Diversified Financials","Navient Corp","NAVIENT CORP"
"MRO UN Equity",1010,"Energy","Marathon Oil Corp","MARATHON OIL CORP"
"MNST UW Equity",3020,"Food Beverage & Tobacco","Monster Beverage Corp","MONSTER BEVERAGE CORP"
"MHFI UN Equity",4020,"Diversified Financials","McGraw Hill Financial Inc","MCGRAW HILL FINANCIAL INC"
"MS UN Equity",4020,"Diversified Financials","Morgan Stanley","MORGAN STANLEY"
"NBL UN Equity",1010,"Energy","Noble Energy Inc","NOBLE ENERGY INC"
"MHK UN Equity",2520,"Consumer Durables & Apparel","Mohawk Industries Inc","MOHAWK INDUSTRIES INC"
"NDAQ UW Equity",4020,"Diversified Financials","Nasdaq Inc","NASDAQ INC"
"MJN UN Equity",3020,"Food Beverage & Tobacco","Mead Johnson Nutrition Co","MEAD JOHNSON NUTRITION CO"
"MO UN Equity",3020,"Food Beverage & Tobacco","Altria Group Inc","ALTRIA GROUP INC"
"MKC UN Equity",3020,"Food Beverage & Tobacco","McCormick & Co Inc/MD","MCCORMICK & CO-NON VTG SHRS"
"MON UN Equity",1510,"Materials","Monsanto Co","MONSANTO CO"
"MSFT UW Equity",4510,"Software & Services","Microsoft Corp","MICROSOFT CORP"
"MOS UN Equity",1510,"Materials","Mosaic Co/The","MOSAIC CO/THE"
"MPC UN Equity",1010,"Energy","Marathon Petroleum Corp","MARATHON PETROLEUM CORP"
"NEE UN Equity",5510,"Utilities","NextEra Energy Inc","NEXTERA ENERGY INC"
"MLM UN Equity",1510,"Materials","Martin Marietta Materials Inc","MARTIN MARIETTA MATERIALS"
"MSI UN Equity",4520,"Technology Hardware & Equipmen","Motorola Solutions Inc","MOTOROLA SOLUTIONS INC"
"MRK UN Equity",3520,"Pharmaceuticals, Biotechnology","Merck & Co Inc","MERCK & CO. INC."
"NEM UN Equity",1510,"Materials","Newmont Mining Corp","NEWMONT MINING CORP"
"MTB UN Equity",4010,"Banks","M&T Bank Corp","M & T BANK CORP"
"MU UW Equity",4530,"Semiconductors & Semiconductor","Micron Technology Inc","MICRON TECHNOLOGY INC"
"MMC UN Equity",4030,"Insurance","Marsh & McLennan Cos Inc","MARSH & MCLENNAN COS"
"NFLX UW Equity",2550,"Retailing","Netflix Inc","NETFLIX INC"
"NKE UN Equity",2520,"Consumer Durables & Apparel","NIKE Inc","NIKE INC -CL B"
"NLSN UN Equity",2020,"Commercial & Professional Serv","Nielsen Holdings PLC","NIELSEN HOLDINGS PLC"
"NFX UN Equity",1010,"Energy","Newfield Exploration Co","NEWFIELD EXPLORATION CO"
"MUR UN Equity",1010,"Energy","Murphy Oil Corp","MURPHY OIL CORP"
"NUE UN Equity",1510,"Materials","Nucor Corp","NUCOR CORP"
"MYL UW Equity",3520,"Pharmaceuticals, Biotechnology","Mylan NV","MYLAN NV"
"NVDA UW Equity",4530,"Semiconductors & Semiconductor","NVIDIA Corp","NVIDIA CORP"
"NOC UN Equity",2010,"Capital Goods","Northrop Grumman Corp","NORTHROP GRUMMAN CORP"
"NI UN Equity",5510,"Utilities","NiSource Inc","NISOURCE INC"
"OMC UN Equity",2540,"Media","Omnicom Group Inc","OMNICOM GROUP"
"ORCL UN Equity",4510,"Software & Services","Oracle Corp","ORACLE CORP"
"NOV UN Equity",1010,"Energy","National Oilwell Varco Inc","NATIONAL OILWELL VARCO INC"
"NRG UN Equity",5510,"Utilities","NRG Energy Inc","NRG ENERGY INC"
"NWL UN Equity",2520,"Consumer Durables & Apparel","Newell Rubbermaid Inc","NEWELL RUBBERMAID INC"
"NWS UW Equity",2540,"Media","News Corp","NEWS CORP - CLASS B"
"NWSA UW Equity",2540,"Media","News Corp","NEWS CORP - CLASS A"
"ORLY UW Equity",2550,"Retailing","O'Reilly Automotive Inc","O'REILLY AUTOMOTIVE INC"
"PCG UN Equity",5510,"Utilities","PG&E Corp","P G & E CORP"
"PCLN UW Equity",2550,"Retailing","Priceline Group Inc/The","PRICELINE GROUP INC/THE"
"O UN Equity",4040,"Real Estate","Realty Income Corp","REALTY INCOME CORP"
"NSC UN Equity",2030,"Transportation","Norfolk Southern Corp","NORFOLK SOUTHERN CORP"
"OXY UN Equity",1010,"Energy","Occidental Petroleum Corp","OCCIDENTAL PETROLEUM CORP"
"PDCO UW Equity",3510,"Health Care Equipment & Servic","Patterson Cos Inc","PATTERSON COS INC"
"NTAP UW Equity",4520,"Technology Hardware & Equipmen","NetApp Inc","NETAPP INC"
"OI UN Equity",1510,"Materials","Owens-Illinois Inc","OWENS-ILLINOIS INC"
"PAYX UW Equity",4510,"Software & Services","Paychex Inc","PAYCHEX INC"
"PEG UN Equity",5510,"Utilities","Public Service Enterprise Group Inc","PUBLIC SERVICE ENTERPRISE GP"
"NTRS UW Equity",4020,"Diversified Financials","Northern Trust Corp","NORTHERN TRUST CORP"
"OKE UN Equity",1010,"Energy","ONEOK Inc","ONEOK INC"
"PBCT UW Equity",4010,"Banks","People's United Financial Inc","PEOPLE'S UNITED FINANCIAL"
"PGR UN Equity",4030,"Insurance","Progressive Corp/The","PROGRESSIVE CORP"
"PEP UN Equity",3020,"Food Beverage & Tobacco","PepsiCo Inc","PEPSICO INC"
"PNW UN Equity",5510,"Utilities","Pinnacle West Capital Corp","PINNACLE WEST CAPITAL"
"PBI UN Equity",2020,"Commercial & Professional Serv","Pitney Bowes Inc","PITNEY BOWES INC"
"PH UN Equity",2010,"Capital Goods","Parker-Hannifin Corp","PARKER HANNIFIN CORP"
"PFE UN Equity",3520,"Pharmaceuticals, Biotechnology","Pfizer Inc","PFIZER INC"
"PPG UN Equity",1510,"Materials","PPG Industries Inc","PPG INDUSTRIES INC"
"PFG UN Equity",4030,"Insurance","Principal Financial Group Inc","PRINCIPAL FINANCIAL GROUP"
"PCAR UW Equity",2010,"Capital Goods","PACCAR Inc","PACCAR INC"
"PHM UN Equity",2520,"Consumer Durables & Apparel","PulteGroup Inc","PULTEGROUP INC"
"PPL UN Equity",5510,"Utilities","PPL Corp","PPL CORP"
"PRGO UN Equity",3520,"Pharmaceuticals, Biotechnology","Perrigo Co PLC","PERRIGO CO PLC"
"PG UN Equity",3030,"Household & Personal Products","Procter & Gamble Co/The","PROCTER & GAMBLE CO/THE"
"PWR UN Equity",2010,"Capital Goods","Quanta Services Inc","QUANTA SERVICES INC"
"PRU UN Equity",4030,"Insurance","Prudential Financial Inc","PRUDENTIAL FINANCIAL INC"
"PKI UN Equity",3520,"Pharmaceuticals, Biotechnology","PerkinElmer Inc","PERKINELMER INC"
"RCL UN Equity",2530,"Consumer Services","Royal Caribbean Cruises Ltd","ROYAL CARIBBEAN CRUISES LTD"
"PX UN Equity",1510,"Materials","Praxair Inc","PRAXAIR INC"
"PLD UN Equity",4040,"Real Estate","Prologis Inc","PROLOGIS INC"
"PSA UN Equity",4040,"Real Estate","Public Storage","PUBLIC STORAGE"
"PSX UN Equity",1010,"Energy","Phillips 66","PHILLIPS 66"
"PM UN Equity",3020,"Food Beverage & Tobacco","Philip Morris International Inc","PHILIP MORRIS INTERNATIONAL"
"PXD UN Equity",1010,"Energy","Pioneer Natural Resources Co","PIONEER NATURAL RESOURCES CO"
"PYPL UW Equity",4510,"Software & Services","PayPal Holdings Inc","PAYPAL HOLDINGS INC"
"REGN UW Equity",3520,"Pharmaceuticals, Biotechnology","Regeneron Pharmaceuticals Inc","REGENERON PHARMACEUTICALS"
"RF UN Equity",4010,"Banks","Regions Financial Corp","REGIONS FINANCIAL CORP"
"QCOM UW Equity",4530,"Semiconductors & Semiconductor","QUALCOMM Inc","QUALCOMM INC"
"QRVO UW Equity",4530,"Semiconductors & Semiconductor","Qorvo Inc","QORVO INC"
"PNC UN Equity",4010,"Banks","PNC Financial Services Group Inc/The","PNC FINANCIAL SERVICES GROUP"
"PVH UN Equity",2520,"Consumer Durables & Apparel","PVH Corp","PVH CORP"
"RHI UN Equity",2020,"Commercial & Professional Serv","Robert Half International Inc","ROBERT HALF INTL INC"
"PNR UN Equity",2010,"Capital Goods","Pentair PLC","PENTAIR PLC"
"ROP UN Equity",2010,"Capital Goods","Roper Technologies Inc","ROPER TECHNOLOGIES INC"
"RHT UN Equity",4510,"Software & Services","Red Hat Inc","RED HAT INC"
"SE UN Equity",1010,"Energy","Spectra Energy Corp","SPECTRA ENERGY CORP"
"R UN Equity",2030,"Transportation","Ryder System Inc","RYDER SYSTEM INC"
"SEE UN Equity",1510,"Materials","Sealed Air Corp","SEALED AIR CORP"
"RIG UN Equity",1010,"Energy","Transocean Ltd","TRANSOCEAN LTD"
"RAI UN Equity",3020,"Food Beverage & Tobacco","Reynolds American Inc","REYNOLDS AMERICAN INC"
"ROST UW Equity",2550,"Retailing","Ross Stores Inc","ROSS STORES INC"
"RL UN Equity",2520,"Consumer Durables & Apparel","Ralph Lauren Corp","RALPH LAUREN CORP"
"SNDK UW Equity",4520,"Technology Hardware & Equipmen","SanDisk Corp","SANDISK CORP"
"SNI UW Equity",2540,"Media","Scripps Networks Interactive Inc","SCRIPPS NETWORKS INTER-CL A"
"SHW UN Equity",1510,"Materials","Sherwin-Williams Co/The","SHERWIN-WILLIAMS CO/THE"
"ROK UN Equity",2010,"Capital Goods","Rockwell Automation Inc","ROCKWELL AUTOMATION INC"
"RRC UN Equity",1010,"Energy","Range Resources Corp","RANGE RESOURCES CORP"
"SIG UN Equity",2550,"Retailing","Signet Jewelers Ltd","SIGNET JEWELERS LTD"
"STJ UN Equity",3510,"Health Care Equipment & Servic","St Jude Medical Inc","ST JUDE MEDICAL INC"
"RSG UN Equity",2020,"Commercial & Professional Serv","Republic Services Inc","REPUBLIC SERVICES INC"
"SO UN Equity",5510,"Utilities","Southern Co/The","SOUTHERN CO/THE"
"SJM UN Equity",3020,"Food Beverage & Tobacco","JM Smucker Co/The","JM SMUCKER CO/THE"
"STT UN Equity",4020,"Diversified Financials","State Street Corp","STATE STREET CORP"
"STX UW Equity",4520,"Technology Hardware & Equipmen","Seagate Technology PLC","SEAGATE TECHNOLOGY"
"SPG UN Equity",4040,"Real Estate","Simon Property Group Inc","SIMON PROPERTY GROUP INC"
"STZ UN Equity",3020,"Food Beverage & Tobacco","Constellation Brands Inc","CONSTELLATION BRANDS INC-A"
"RTN UN Equity",2010,"Capital Goods","Raytheon Co","RAYTHEON COMPANY"
"SLB UN Equity",1010,"Energy","Schlumberger Ltd","SCHLUMBERGER LTD"
"SPLS UW Equity",2550,"Retailing","Staples Inc","STAPLES INC"
"SBUX UW Equity",2530,"Consumer Services","Starbucks Corp","STARBUCKS CORP"
"SWK UN Equity",2010,"Capital Goods","Stanley Black & Decker Inc","STANLEY BLACK & DECKER INC"
"SLG UN Equity",4040,"Real Estate","SL Green Realty Corp","SL GREEN REALTY CORP"
"SRCL UW Equity",2020,"Commercial & Professional Serv","Stericycle Inc","STERICYCLE INC"
"SRE UN Equity",5510,"Utilities","Sempra Energy","SEMPRA ENERGY"
"SCG UN Equity",5510,"Utilities","SCANA Corp","SCANA CORP"
"SWKS UW Equity",4530,"Semiconductors & Semiconductor","Skyworks Solutions Inc","SKYWORKS SOLUTIONS INC"
"SNA UN Equity",2010,"Capital Goods","Snap-on Inc","SNAP-ON INC"
"SCHW UN Equity",4020,"Diversified Financials","Charles Schwab Corp/The","SCHWAB (CHARLES) CORP"
"STI UN Equity",4010,"Banks","SunTrust Banks Inc","SUNTRUST BANKS INC"
"SYK UN Equity",3510,"Health Care Equipment & Servic","Stryker Corp","STRYKER CORP"
"SWN UN Equity",1010,"Energy","Southwestern Energy Co","SOUTHWESTERN ENERGY CO"
"SYF UN Equity",4020,"Diversified Financials","Synchrony Financial","SYNCHRONY FINANCIAL"
"TXN UW Equity",4530,"Semiconductors & Semiconductor","Texas Instruments Inc","TEXAS INSTRUMENTS INC"
"TGNA UN Equity",2540,"Media","TEGNA Inc","TEGNA INC"
"SYMC UW Equity",4510,"Software & Services","Symantec Corp","SYMANTEC CORP"
"TROW UW Equity",4020,"Diversified Financials","T Rowe Price Group Inc","T ROWE PRICE GROUP INC"
"TXT UN Equity",2010,"Capital Goods","Textron Inc","TEXTRON INC"
"TGT UN Equity",2550,"Retailing","Target Corp","TARGET CORP"
"SYY UN Equity",3010,"Food & Staples Retailing","Sysco Corp","SYSCO CORP"
"TRV UN Equity",4030,"Insurance","Travelers Cos Inc/The","TRAVELERS COS INC/THE"
"TYC UN Equity",2020,"Commercial & Professional Serv","Tyco International Plc","TYCO INTERNATIONAL PLC"
"UA UN Equity",2520,"Consumer Durables & Apparel","Under Armour Inc","UNDER ARMOUR INC-CLASS A"
"TSCO UW Equity",2550,"Retailing","Tractor Supply Co","TRACTOR SUPPLY COMPANY"
"UAL UN Equity",2030,"Transportation","United Continental Holdings Inc","UNITED CONTINENTAL HOLDINGS"
"THC UN Equity",3510,"Health Care Equipment & Servic","Tenet Healthcare Corp","TENET HEALTHCARE CORP"
"T UN Equity",5010,"Telecommunication Services","AT&T Inc","AT&T INC"
"TSN UN Equity",3020,"Food Beverage & Tobacco","Tyson Foods Inc","TYSON FOODS INC-CL A"
"TAP UN Equity",3020,"Food Beverage & Tobacco","Molson Coors Brewing Co","MOLSON COORS BREWING CO -B"
"TDC UN Equity",4510,"Software & Services","Teradata Corp","TERADATA CORP"
"UDR UN Equity",4040,"Real Estate","UDR Inc","UDR INC"
"TIF UN Equity",2550,"Retailing","Tiffany & Co","TIFFANY & CO"
"TSO UN Equity",1010,"Energy","Tesoro Corp","TESORO CORP"
"UHS UN Equity",3510,"Health Care Equipment & Servic","Universal Health Services Inc","UNIVERSAL HEALTH SERVICES-B"
"TE UN Equity",5510,"Utilities","TECO Energy Inc","TECO ENERGY INC"
"TEL UN Equity",4520,"Technology Hardware & Equipmen","TE Connectivity Ltd","TE CONNECTIVITY LTD"
"TJX UN Equity",2550,"Retailing","TJX Cos Inc/The","TJX COMPANIES INC"
"UNH UN Equity",3510,"Health Care Equipment & Servic","UnitedHealth Group Inc","UNITEDHEALTH GROUP INC"
"TSS UN Equity",4510,"Software & Services","Total System Services Inc","TOTAL SYSTEM SERVICES INC"
"TWC UN Equity",2540,"Media","Time Warner Cable Inc","TIME WARNER CABLE"
"UNM UN Equity",4030,"Insurance","Unum Group","UNUM GROUP"
"TMK UN Equity",4030,"Insurance","Torchmark Corp","TORCHMARK CORP"
"TWX UN Equity",2540,"Media","Time Warner Inc","TIME WARNER INC"
"VAR UN Equity",3510,"Health Care Equipment & Servic","Varian Medical Systems Inc","VARIAN MEDICAL SYSTEMS INC"
"VRTX UW Equity",3520,"Pharmaceuticals, Biotechnology","Vertex Pharmaceuticals Inc","VERTEX PHARMACEUTICALS INC"
"TMO UN Equity",3520,"Pharmaceuticals, Biotechnology","Thermo Fisher Scientific Inc","THERMO FISHER SCIENTIFIC INC"
"UNP UN Equity",2030,"Transportation","Union Pacific Corp","UNION PACIFIC CORP"
"TRIP UW Equity",2550,"Retailing","TripAdvisor Inc","TRIPADVISOR INC"
"UPS UN Equity",2030,"Transportation","United Parcel Service Inc","UNITED PARCEL SERVICE-CL B"
"VFC UN Equity",2520,"Consumer Durables & Apparel","VF Corp","VF CORP"
"VIAB UW Equity",2540,"Media","Viacom Inc","VIACOM INC-CLASS B"
"VTR UN Equity",4040,"Real Estate","Ventas Inc","VENTAS INC"
"WFM UW Equity",3010,"Food & Staples Retailing","Whole Foods Market Inc","WHOLE FOODS MARKET INC"
"URBN UW Equity",2550,"Retailing","Urban Outfitters Inc","URBAN OUTFITTERS INC"
"VLO UN Equity",1010,"Energy","Valero Energy Corp","VALERO ENERGY CORP"
"URI UN Equity",2010,"Capital Goods","United Rentals Inc","UNITED RENTALS INC"
"VZ UN Equity",5010,"Telecommunication Services","Verizon Communications Inc","VERIZON COMMUNICATIONS INC"
"WHR UN Equity",2520,"Consumer Durables & Apparel","Whirlpool Corp","WHIRLPOOL CORP"
"WLTW UW Equity",4030,"Insurance","Willis Towers Watson PLC","WILLIS TOWERS WATSON PLC"
"VMC UN Equity",1510,"Materials","Vulcan Materials Co","VULCAN MATERIALS CO"
"WAT UN Equity",3520,"Pharmaceuticals, Biotechnology","Waters Corp","WATERS CORP"
"WBA UW Equity",3010,"Food & Staples Retailing","Walgreens Boots Alliance Inc","WALGREENS BOOTS ALLIANCE INC"
"WDC UW Equity",4520,"Technology Hardware & Equipmen","Western Digital Corp","WESTERN DIGITAL CORP"
"WM UN Equity",2020,"Commercial & Professional Serv","Waste Management Inc","WASTE MANAGEMENT INC"
"USB UN Equity",4010,"Banks","US Bancorp","US BANCORP"
"VNO UN Equity",4040,"Real Estate","Vornado Realty Trust","VORNADO REALTY TRUST"
"VRSK UW Equity",2020,"Commercial & Professional Serv","Verisk Analytics Inc","VERISK ANALYTICS INC"
"WEC UN Equity",5510,"Utilities","WEC Energy Group Inc","WEC ENERGY GROUP INC"
"WMB UN Equity",1010,"Energy","Williams Cos Inc/The","WILLIAMS COS INC"
"UTX UN Equity",2010,"Capital Goods","United Technologies Corp","UNITED TECHNOLOGIES CORP"
"VRSN UW Equity",4510,"Software & Services","VeriSign Inc","VERISIGN INC"
"V UN Equity",4510,"Software & Services","Visa Inc","VISA INC-CLASS A SHARES"
"WFC UN Equity",4010,"Banks","Wells Fargo & Co","WELLS FARGO & CO"
"WMT UN Equity",3010,"Food & Staples Retailing","Wal-Mart Stores Inc","WAL-MART STORES INC"
"WRK UN Equity",1510,"Materials","WestRock Co","WESTROCK CO"
"WU UN Equity",4510,"Software & Services","Western Union Co/The","WESTERN UNION CO"
"WY UN Equity",4040,"Real Estate","Weyerhaeuser Co","WEYERHAEUSER CO"
"XRAY UW Equity",3510,"Health Care Equipment & Servic","DENTSPLY SIRONA Inc","DENTSPLY SIRONA INC"
"WYN UN Equity",2530,"Consumer Services","Wyndham Worldwide Corp","WYNDHAM WORLDWIDE CORP"
"WYNN UW Equity",2530,"Consumer Services","Wynn Resorts Ltd","WYNN RESORTS LTD"
"XEC UN Equity",1010,"Energy","Cimarex Energy Co","CIMAREX ENERGY CO"
"XRX UN Equity",4510,"Software & Services","Xerox Corp","XEROX CORP"
"XYL UN Equity",2010,"Capital Goods","Xylem Inc/NY","XYLEM INC"
"YHOO UW Equity",4510,"Software & Services","Yahoo! Inc","YAHOO! INC"
"XEL UN Equity",5510,"Utilities","Xcel Energy Inc","XCEL ENERGY INC"
"YUM UN Equity",2530,"Consumer Services","Yum! Brands Inc","YUM! BRANDS INC"
"ZBH UN Equity",3510,"Health Care Equipment & Servic","Zimmer Biomet Holdings Inc","ZIMMER BIOMET HOLDINGS INC"
"XL UN Equity",4030,"Insurance","XL Group PLC","XL GROUP PLC"
"XLNX UW Equity",4530,"Semiconductors & Semiconductor","Xilinx Inc","XILINX INC"
"ZION UW Equity",4010,"Banks","Zions Bancorporation","ZIONS BANCORPORATION"
"ZTS UN Equity",3520,"Pharmaceuticals, Biotechnology","Zoetis Inc","ZOETIS INC"
"XOM UN Equity",1010,"Energy","Exxon Mobil Corp","EXXON MOBIL CORP"
